epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,288.836,2.69142,3.16828,3.77758,0,0,0,0,2.35279,4.62303,4.16747,0.0003318,0.0003318,0.0003318
19,305.104,2.85115,3.07796,3.75068,0,0,0,0,2.35162,4.62013,4.1712,0.000340291,0.000340291,0.000340291
20,320.774,2.55768,3.55281,3.72415,0,0,0,0,2.3511,4.61535,4.17526,0.00034765,0.00034765,0.00034765
21,336.543,2.77054,3.26611,3.73861,0,0,0,0,2.35093,4.60894,4.17994,0.000353878,0.000353878,0.000353878
22,352.081,2.47952,3.09638,3.68021,0,0,0,0,2.35085,4.60262,4.18444,0.000358973,0.000358973,0.000358973
23,367.556,2.34597,2.95831,3.54648,0,0,0,0,2.35154,4.59833,4.18988,0.000362937,0.000362937,0.000362937
24,383.379,2.38597,2.9302,3.6454,0,0,0,0,2.36047,4.59293,4.19368,0.00036577,0.00036577,0.00036577
25,398.804,2.22228,2.79125,3.4212,0,0,0,0,2.35289,4.60143,4.19756,0.00036747,0.00036747,0.00036747
26,414.448,2.26598,2.79601,3.41853,0,0,0,0,2.34133,4.61314,4.20113,0.000368039,0.000368039,0.000368039
27,430.043,2.24941,2.84682,3.37703,0,0,0,0,2.33354,4.61552,4.20568,0.000367476,0.000367476,0.000367476
28,445.357,2.29959,2.66304,3.31276,0,0,0,0,2.33354,4.61552,4.20568,0.000365781,0.000365781,0.000365781
29,460.858,2.17094,2.71865,3.33374,0,0,0,0,2.33259,4.60866,4.2113,0.000362955,0.000362955,0.000362955
30,476.324,2.17313,2.69907,3.37784,0,0,0,0,2.33148,4.60305,4.21729,0.000358996,0.000358996,0.000358996
31,491.723,2.28548,2.87007,3.34687,0,0,0,0,2.33148,4.60305,4.21729,0.000353906,0.000353906,0.000353906
32,507.41,2.22157,2.70034,3.29188,0,0,0,0,2.33149,4.60235,4.22401,0.000347684,0.000347684,0.000347684
33,523.863,2.26813,2.65506,3.26886,0,0,0,0,2.33091,4.59829,4.22878,0.000340331,0.000340331,0.000340331
34,540.543,2.08348,2.55989,3.06425,0,0,0,0,2.33091,4.59829,4.22878,0.000331845,0.000331845,0.000331845
35,556.224,2.14325,2.59409,3.12577,0,0,0,0,2.33099,4.59976,4.23268,0.000322228,0.000322228,0.000322228
36,571.813,2.22428,2.35706,3.19763,0,0,0,0,2.33046,4.59355,4.23379,0.000311479,0.000311479,0.000311479
37,587.63,1.99952,2.42746,3.05668,0,0,0,0,2.33046,4.59355,4.23379,0.000299598,0.000299598,0.000299598
38,602.667,2.08377,2.42332,3.06311,0,0,0,0,2.32931,4.58269,4.2329,0.000286586,0.000286586,0.000286586
39,616.769,2.2237,2.5088,3.07782,0,0,0,0,2.32816,4.57674,4.23131,0.000272442,0.000272442,0.000272442
40,629.644,2.24888,2.46982,3.09531,0,0,0,0,2.32816,4.57674,4.23131,0.000257166,0.000257166,0.000257166
41,642.381,1.67683,2.72621,2.82601,0,0,0,0,2.32799,4.57676,4.23106,0.000240758,0.000240758,0.000240758
42,655.241,1.57623,2.7004,2.76411,0,0,0,0,2.32891,4.57882,4.23046,0.000223218,0.000223218,0.000223218
43,668.392,1.59201,2.50562,2.77315,0,0,0,0,2.32891,4.57882,4.23046,0.000204547,0.000204547,0.000204547
44,681.128,1.53593,2.48038,2.74207,0,0,0,0,2.32981,4.57832,4.2293,0.000184744,0.000184744,0.000184744
45,693.718,1.41967,2.4534,2.5908,0,0,0,0,2.32981,4.57832,4.2293,0.000163809,0.000163809,0.000163809
46,706.463,1.52696,2.34185,2.65722,0,0,0,0,2.32965,4.56574,4.22772,0.000141743,0.000141743,0.000141743
47,718.784,1.55613,2.46337,2.64477,0,0,0,0,2.32965,4.56574,4.22772,0.000118544,0.000118544,0.000118544
48,731.261,1.53077,2.50267,2.59397,0,0,0,0,2.32901,4.55264,4.2263,9.4214e-05,9.4214e-05,9.4214e-05
49,743.918,1.56595,2.38886,2.67801,0,0,0,0,2.32901,4.55264,4.2263,6.8752e-05,6.8752e-05,6.8752e-05
50,757.164,1.64362,2.4816,2.76256,0,0,0,0,2.32835,4.54087,4.22284,4.21584e-05,4.21584e-05,4.21584e-05
