epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.929,3.23279,4.70855,4.27326,0,0,0,0,2.36734,4.64116,4.15884,1.429e-05,1.429e-05,1.429e-05
2,30.4546,3.10964,4.65807,4.27682,0,0,0,0,2.3674,4.64061,4.15874,4.20212e-05,4.20212e-05,4.20212e-05
3,46.0756,2.86674,4.73217,4.2701,0,0,0,0,2.36733,4.64012,4.15858,6.86206e-05,6.86206e-05,6.86206e-05
4,62.0053,3.52489,4.68926,4.28928,0,0,0,0,2.36718,4.64038,4.15841,9.40882e-05,9.40882e-05,9.40882e-05
5,78.6463,2.95718,4.60788,4.26701,0,0,0,0,2.36685,4.64055,4.15812,0.000118424,0.000118424,0.000118424
6,95.3264,2.98175,4.49957,4.27514,0,0,0,0,2.36629,4.63994,4.15782,0.000141628,0.000141628,0.000141628
7,111.535,3.04011,4.60123,4.18447,0,0,0,0,2.3654,4.63907,4.15738,0.000163701,0.000163701,0.000163701
8,127.777,3.14243,4.13771,4.18905,0,0,0,0,2.36419,4.63812,4.15692,0.000184641,0.000184641,0.000184641
9,144.115,2.62005,3.99825,4.16637,0,0,0,0,2.36349,4.63797,4.15662,0.00020445,0.00020445,0.00020445
10,160.318,2.78208,4.04101,4.17039,0,0,0,0,2.36219,4.63701,4.15645,0.000223127,0.000223127,0.000223127
11,176.422,2.68638,3.84055,4.11781,0,0,0,0,2.36073,4.63637,4.15645,0.000240672,0.000240672,0.000240672
12,192.513,2.68145,3.88425,4.06406,0,0,0,0,2.35928,4.63558,4.15663,0.000257086,0.000257086,0.000257086
13,208.482,2.82239,3.8743,4.04494,0,0,0,0,2.35784,4.63446,4.15707,0.000272367,0.000272367,0.000272367
14,224.538,3.03185,3.61958,4.03749,0,0,0,0,2.35644,4.63354,4.15791,0.000286517,0.000286517,0.000286517
15,240.722,2.72145,3.47304,3.98419,0,0,0,0,2.35506,4.63154,4.15922,0.000299536,0.000299536,0.000299536
16,256.552,2.58789,3.32086,3.85695,0,0,0,0,2.35429,4.6293,4.16147,0.000311422,0.000311422,0.000311422
17,272.664,2.69799,3.48895,3.81493,0,0,0,0,2.35355,4.62643,4.16425,0.000322177,0.000322177,0.000322177
