epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0789,3.23279,4.70855,4.27326,0,0,0,0,2.36734,4.64116,4.15884,1.429e-05,1.429e-05,1.429e-05
2,26.2987,3.10833,4.66105,4.27743,0,0,0,0,2.36741,4.64061,4.15876,3.43817e-05,3.43817e-05,3.43817e-05
3,39.6144,2.87218,4.74254,4.27634,0,0,0,0,2.3674,4.64007,4.15866,4.31558e-05,4.31558e-05,4.31558e-05
4,53.8674,3.55341,4.6971,4.31525,0,0,0,0,2.36737,4.6403,4.15858,4.06122e-05,4.06122e-05,4.06122e-05
5,68.3709,2.96357,4.65206,4.26311,0,0,0,0,2.36732,4.64035,4.15855,2.67509e-05,2.67509e-05,2.67509e-05
